_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,MI_PRINX,OBJECTID,ID,CLIENT_STREET_1,CLIENT_STREET_2,RLC,TCS,NAME,ADDITIONAL_INFO,MAIN,SIDE1,SIDE2,MID_BLOCK,PRIVATE_ACCESS,DISTRICT,WARD_1,WARD_2,WARD_3,WARD_4,POLICE_DIVISION_1,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,geometry
1,13465959.0,Richmond St E,Parliament St,1,1,1,RICHMOND ST E,PARLIAMENT ST,6001,223,Richmond St E And Parliament St,None,RICHMOND ST E,PARLIAMENT ST,None,None,None,Toronto and East York,Toronto Centre(13),None,None,None,51,None,None,2007-11-09T05:00:00,"{'type': 'Point', 'coordinates': (-79.3640229981536, 43.65455901107341)}"
2,13467993.0,Lake Shore Blvd W,York St,2,2,2,LAKE SHORE BLVD W,YORK ST,6002,205,Lake Shore Blvd W And York St,WB LAKE SHORE BLVD,LAKE SHORE BLVD W,YORK ST,None,None,None,Toronto and East York,Spadina-Fort York(10),None,None,None,52,None,None,2007-11-09T05:00:00,"{'type': 'Point', 'coordinates': (-79.3808680070637, 43.6414600021636)}"
3,13444656.0,Steeles Ave W,Carpenter Rd,3,3,3,STEELES AVE W,CARPENTER RD,6003,1564,Steeles Ave W And Carpenter Rd / Private Access @ Shopping Centre,None,STEELES AVE W,CARPENTER RD,PRIVATE ACCESS,None,SHOPPING CENTRE,North York,York Centre(6),None,None,None,32,None,None,2007-11-09T05:00:00,"{'type': 'Point', 'coordinates': (-79.447588998966, 43.7920130014137)}"
4,13444138.0,Steeles Ave W,Hilda Ave,4,4,4,STEELES AVE W,HILDA AVE,6004,1115,Steeles Ave W And Hilda Ave,None,STEELES AVE W,HILDA AVE,None,None,None,North York,Willowdale(18),None,None,None,32,None,None,2007-11-09T05:00:00,"{'type': 'Point', 'coordinates': (-79.4292670008865, 43.7960070062936)}"
5,13451893.0,Albion Rd,Silverstone Dr,5,5,5,ALBION RD,SILVERSTONE DR,6005,1156,Albion Rd And Silverstone Dr,None,ALBION RD,SILVERSTONE DR,None,None,None,Etobicoke York,Etobicoke North(1),None,None,None,23,None,None,2007-11-09T05:00:00,"{'type': 'Point', 'coordinates': (-79.6000939933117, 43.7429520012624)}"
6,13459576.0,Dixon Rd,Kipling Ave,6,6,6,DIXON RD,KIPLING AVE,6007,435,Dixon Rd And Kipling Ave,None,DIXON RD,KIPLING AVE,None,None,None,Etobicoke York,Etobicoke North(1),Etobicoke Centre(2),None,None,23,None,None,2008-03-18T04:00:00,"{'type': 'Point', 'coordinates': (-79.5586490059244, 43.6942490044885)}"
7,13448601.0,Steeles Ave W,Islington Ave,7,7,7,STEELES AVE W,ISLINGTON AVE,6008,1208,Steeles Ave W And Islington Ave,None,STEELES AVE W,ISLINGTON AVE,None,None,None,Etobicoke York,Humber River-Black Creek(7),None,None,None,31,None,None,2008-10-28T04:00:00,"{'type': 'Point', 'coordinates': (-79.5748709931268, 43.7643430030644)}"
8,13450231.0,Sheppard Ave W,Wilson Heights Blvd,8,8,8,SHEPPARD AVE W,WILSON HEIGHTS BLVD,6009,631,Sheppard Ave W And Wilson Heights Blvd,None,SHEPPARD AVE W,WILSON HEIGHTS BLVD,None,None,None,North York,York Centre(6),None,None,None,32,None,None,2009-03-17T04:00:00,"{'type': 'Point', 'coordinates': (-79.4567510019211, 43.7516630010107)}"
9,13449607.0,Bathurst St,Sheppard Ave W,9,9,9,BATHURST ST,SHEPPARD AVE W,6010,672,Bathurst St And Sheppard Ave W,None,BATHURST ST,SHEPPARD AVE W,None,None,None,North York,York Centre(6),None,None,None,32,None,None,2007-11-09T05:00:00,"{'type': 'Point', 'coordinates': (-79.4384810044369, 43.7554580028968)}"
10,13455749.0,Lawrence Ave W,Marlee Ave,10,10,10,LAWRENCE AVE W,MARLEE AVE,6011,425,Lawrence Ave W And Marlee Ave / Private Access @ Lawrence Square Access,None,LAWRENCE AVE W,MARLEE AVE,PRIVATE ACCESS,None,LAWRENCE SQUARE ACCESS,North York,Eglinton-Lawrence(8),None,None,None,32,13,None,2008-03-19T04:00:00,"{'type': 'Point', 'coordinates': (-79.4465200053405, 43.7156150035191)}"
